4,0491	40779
4,0577	41133
4,0659	41508
4,0742	41853
4,0824	42208
4,0907	42573
4,0978	42888
4,1063	43263
4,1147	43627
4,1227	44002
4,1311	44367
4,1394	44751
4,1479	45145
4,1562	45530
4,1645	45914
4,1727	46299
4,1808	46683
4,1895	47087
4,1979	47481
4,2062	47895
4,2145	48280
4,2227	48674
4,231	49059
4,2396	49473
4,2478	49896
4,2562	50301
4,2645	50695
4,2725	51119
4,2811	51542
4,2895	51986
4,2979	52420
4,3062	52853
4,3144	53307
4,3227	53741
4,3297	54155
4,3383	54608
4,3466	55081
4,3548	55525
4,363	55988
4,3712	56471
4,3799	56964
4,3881	57457
4,3965	57950
4,4046	58423
4,4128	58906
4,4214	59418
4,4297	59921
4,4381	60453
4,4464	60956
4,4546	61478
4,463	61991
4,4715	62553
4,4785	63026
4,4854	63499
4,4938	64081
4,5004	64574
4,5073	65066
4,5144	65589
4,5213	66101
4,5285	66614
4,5355	67126
4,5436	67728
4,5504	68250
4,5587	68861
4,566	69413
4,5728	69946
4,5812	70586
4,5894	71217
4,5976	71868
4,606	72518
4,6131	73100
4,6201	73652
4,6284	74322
4,6366	74992
4,6447	75673
4,6519	76244
4,6589	76855
4,6673	77545
4,6743	78137
4,6811	78728
4,6893	79438
4,6977	80167
4,7048	80778
4,7131	81528
4,7216	82247
4,7297	82967
4,7378	83706
4,7463	84455
4,7533	85116
4,7618	85845
4,77	86604
4,7782	87343
4,7864	88073
4,795	88861
4,8035	89630
4,8118	90379
4,82	91158
4,8282	91897
4,8364	92676
4,8451	93455
4,8533	94233
4,8616	95002
4,8698	95741
4,878	96500
4,8866	97269
4,895	98048
4,9034	98837
4,9132	99724
4,9214	100490
4,9296	101270
4,9381	102080
4,9464	102870
4,9547	103660
4,9643	104550
4,9739	105420
4,9826	106270
4,9922	107220
5,0019	108130
5,0115	109010
5,0213	109920
5,0311	110900
5,0409	111830
5,0505	112730
5,0603	113640
5,0697	114600
5,0796	115560
5,0895	116490
5,0993	117400
5,1087	118320
5,1185	119270
5,1299	120330
5,1396	121300
5,1504	122330
5,1615	123380
5,1713	124380
5,1825	125420
5,1936	126510
5,2044	127540
5,2159	128600
5,2269	129690
5,2382	130710
5,2488	131780
5,2602	132820
5,2714	133910
5,2838	135000
5,2949	136070
5,3075	137190
5,3185	138250
5,3312	139350
5,3433	140500
5,3561	141610
5,3686	142730
5,381	143840
5,3948	145040
5,409	146260
5,4213	147400
5,4351	148620
5,4493	149820
5,4632	151010
5,4767	152180
5,4905	153380
5,5047	154630
5,5199	155900
5,535	157140
5,5505	158510
5,5657	159780
5,581	161020
5,5964	162340
5,6117	163590
5,6281	164950
5,6436	166210
5,6602	167530
5,6767	168850
5,6935	170160
5,71	171440
5,727	172780
5,7437	174150
5,7601	175480
5,7767	176830
5,7933	178110
5,8114	179410
5,8284	180750
5,8449	182070
5,8614	183340
5,8769	184590
5,8934	185840
5,9099	187130
5,9269	188430
5,9435	189700
5,9604	190990
5,9769	192340
5,9933	193590
6,0099	194870
6,0283	196160
6,0461	197520
6,0629	198820
6,0808	200090
6,0992	201370
6,116	202650
6,1323	203890
6,1501	205180
6,17	206550
6,1877	207860
6,2059	209140
6,2253	210460
6,2447	211700
6,2631	212950
6,2808	214200
6,3006	215470
6,3195	216770
6,3409	218090
6,3614	219360
6,3809	220650
6,4033	222020
6,4257	223300
6,4461	224550
6,4669	225820
6,4881	227100
6,5101	228390
6,5295	229690
6,5516	230990
6,5741	232310
6,5975	233670
6,6201	234990
6,6422	236300
6,6627	237560
6,6837	238830
6,7071	240160
6,7296	241410
6,753	242740
6,7768	244060
6,7991	245300
6,8226	246600
6,8461	247880
6,8698	249180
6,8933	250470
6,9196	251730
6,9435	252990
6,9655	254260
6,9874	255520
7,0113	256790
7,0334	258030
7,0571	259290
7,0793	260530
7,1029	261780
7,1265	263070
7,1515	264330
7,177	265570
7,2005	266820
7,2242	268080
7,2477	269350
7,2715	270600
7,2959	271930
7,3225	273180
7,3501	274540
7,375	275790
7,4034	277070
7,4281	278310
7,4575	279660
7,482	280940
